code,ticker_tse,company_name,sector,date,close,volume,price_file
8035,8035.T,TOKYO ELECTRON LTD.,Electric Machinery,2026-03-25,40360.00,3091900,data/prices/stooq/jp/8035.csv
8053,8053.T,SUMITOMO CORP.,Trading Companies,2026-03-25,5832.00,2930800,data/prices/stooq/jp/8053.csv
8058,8058.T,MITSUBISHI CORP.,Trading Companies,2026-03-25,5556.00,9763900,data/prices/stooq/jp/8058.csv
8233,8233.T,"TAKASHIMAYA CO., LTD.",Retail,2026-03-25,1877.50,2780000,data/prices/stooq/jp/8233.csv
8252,8252.T,"MARUI GROUP CO., LTD.",Retail,2026-03-25,3106.00,883100,data/prices/stooq/jp/8252.csv
8253,8253.T,"CREDIT SAISON CO., LTD.",Other Financial Services,2026-03-25,4244.00,601000,data/prices/stooq/jp/8253.csv
8267,8267.T,"AEON CO., LTD.",Retail,2026-03-25,1936.50,5902200,data/prices/stooq/jp/8267.csv
8304,8304.T,"AOZORA BANK, LTD.",Banking,2026-03-25,2605.50,760100,data/prices/stooq/jp/8304.csv
8306,8306.T,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",Banking,2026-03-25,2718.50,39608800,data/prices/stooq/jp/8306.csv
8308,8308.T,"RESONA HOLDINGS, INC.",Banking,2026-03-25,1840.50,9652500,data/prices/stooq/jp/8308.csv
8309,8309.T,"SUMITOMO MITSUI TRUST GROUP, INC.",Banking,2026-03-25,5109.00,2067000,data/prices/stooq/jp/8309.csv
8316,8316.T,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",Banking,2026-03-25,5311.00,16139400,data/prices/stooq/jp/8316.csv
8331,8331.T,"THE CHIBA BANK, LTD.",Banking,2026-03-25,2099.50,2953100,data/prices/stooq/jp/8331.csv
8354,8354.T,"FUKUOKA FINANCIAL GROUP, INC.",Banking,2026-03-25,6226.00,547700,data/prices/stooq/jp/8354.csv
8411,8411.T,"MIZUHO FINANCIAL GROUP, INC.",Banking,2026-03-25,6421.00,10547400,data/prices/stooq/jp/8411.csv
8591,8591.T,ORIX CORP.,Other Financial Services,2026-03-25,4807.00,2837600,data/prices/stooq/jp/8591.csv
8601,8601.T,DAIWA SECURITIES GROUP INC.,Securities,2026-03-25,1560.50,5854600,data/prices/stooq/jp/8601.csv
8604,8604.T,"NOMURA HOLDINGS, INC.",Securities,2026-03-25,1274.50,12925200,data/prices/stooq/jp/8604.csv
8630,8630.T,"SOMPO HOLDINGS, INC.",Insurance,2026-03-25,6096.00,3034200,data/prices/stooq/jp/8630.csv
8697,8697.T,"JAPAN EXCHANGE GROUP, INC.",Other Financial Services,2026-03-25,1881.50,4853200,data/prices/stooq/jp/8697.csv
